slug,name,name_hi,browse_section,default_unit,kcal_per_serving,protein_g_per_serving,serving_label,aliases,tags,is_junk,is_home_cooked,sort_priority,portion_ui_type,portion_presets,unit_options,data_source
aloo-paratha,Aloo paratha,आलू परांठा,breads_roti,piece,290,6.0,1 aloo paratha (~100g),aloo paratha|potato paratha,veg|home_cooked,false,true,92,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.01,""label"":""g"",""step"":10,""min"":10,""max"":500}}",mfp_avg
gobi-paratha,Gobi paratha,गोभी परांठा,breads_roti,piece,270,6.5,1 gobi paratha (~100g),gobi paratha|cauliflower paratha,veg|home_cooked,false,true,70,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.01,""label"":""g"",""step"":10,""min"":10,""max"":500}}",mfp_avg
paneer-paratha,Paneer paratha,पनीर परांठा,breads_roti,piece,320,11.0,1 paneer paratha (~100g),paneer paratha,veg|home_cooked|high_protein,false,true,75,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.01,""label"":""g"",""step"":10,""min"":10,""max"":500}}",mfp_avg
methi-paratha,Methi paratha,मेथी परांठा,breads_roti,piece,230,6.0,1 methi paratha (~80g),methi paratha|fenugreek paratha,veg|home_cooked,false,true,55,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.0125,""label"":""g"",""step"":10,""min"":10,""max"":400}}",mfp_avg
mooli-paratha,Mooli paratha,मूली परांठा,breads_roti,piece,250,6.0,1 mooli paratha (~90g),mooli paratha|radish paratha,veg|home_cooked,false,true,50,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.01111,""label"":""g"",""step"":10,""min"":10,""max"":450}}",mfp_avg
lachha-paratha,Lachha paratha,लच्छा परांठा,breads_roti,piece,290,5.5,1 lachha paratha (~80g),lachha paratha|laccha paratha|layered paratha,veg|restaurant,false,false,65,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.0125,""label"":""g"",""step"":10,""min"":10,""max"":400}}",mfp_avg
naan-plain,Naan (plain),नान,breads_roti,piece,260,7.0,1 naan (~80g),naan|plain naan,veg|restaurant,false,false,78,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.0125,""label"":""g"",""step"":10,""min"":10,""max"":400}}",mfp_avg
butter-naan,Butter naan,बटर नान,breads_roti,piece,290,7.0,1 butter naan (~85g),butter naan,veg|restaurant,false,false,82,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.01176,""label"":""g"",""step"":10,""min"":10,""max"":425}}",mfp_avg
garlic-naan,Garlic naan,गार्लिक नान,breads_roti,piece,280,7.5,1 garlic naan (~85g),garlic naan,veg|restaurant,false,false,72,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.01176,""label"":""g"",""step"":10,""min"":10,""max"":425}}",mfp_avg
cheese-naan,Cheese naan,चीज़ नान,breads_roti,piece,350,12.0,1 cheese naan (~95g),cheese naan|cheesy naan,veg|restaurant,false,false,55,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":4},""gram"":{""multiplier"":0.01053,""label"":""g"",""step"":10,""min"":10,""max"":380}}",mfp_avg
puri,Puri,पूरी,breads_roti,piece,150,2.5,1 puri (~40g),puri|poori,veg|fried,false,true,70,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":8},""gram"":{""multiplier"":0.025,""label"":""g"",""step"":10,""min"":10,""max"":320}}",mfp_avg
bhatura,Bhatura,भटूरा,breads_roti,piece,270,6.0,1 bhatura (~75g),bhatura|bhature,veg|fried|restaurant,false,false,70,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":4},""gram"":{""multiplier"":0.01333,""label"":""g"",""step"":10,""min"":10,""max"":300}}",mfp_avg
luchi,Luchi,লুচি,breads_roti,piece,130,2.0,1 luchi (~35g),luchi|bengali puri,veg|fried|home_cooked,false,true,40,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":8},""gram"":{""multiplier"":0.02857,""label"":""g"",""step"":10,""min"":10,""max"":280}}",mfp_avg
kulcha-plain,Kulcha (plain),कुलचा,breads_roti,piece,240,6.0,1 kulcha (~75g),kulcha|plain kulcha,veg|restaurant,false,false,60,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":5},""gram"":{""multiplier"":0.01333,""label"":""g"",""step"":10,""min"":10,""max"":375}}",mfp_avg
amritsari-kulcha,Amritsari stuffed kulcha,अमृतसरी कुलचा,breads_roti,piece,320,8.0,1 stuffed kulcha (~100g),amritsari kulcha|stuffed kulcha,veg|restaurant,false,false,50,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":4},""gram"":{""multiplier"":0.01,""label"":""g"",""step"":10,""min"":10,""max"":400}}",mfp_avg
pav,Pav (Indian bread),पाव,breads_roti,piece,105,3.0,1 pav (~40g),pav|ladi pav|bun,veg|bakery,false,false,60,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":10},""gram"":{""multiplier"":0.025,""label"":""g"",""step"":10,""min"":10,""max"":400}}",mfp_avg
white-bread-slice,White bread (slice),ब्रेड,breads_roti,piece,75,2.5,1 slice (~25g),bread|white bread|sandwich bread,veg|packaged,false,false,80,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":12},""gram"":{""multiplier"":0.04,""label"":""g"",""step"":10,""min"":10,""max"":300}}",label_pack
brown-bread-slice,Brown bread (slice),ब्राउन ब्रेड,breads_roti,piece,80,3.0,1 slice (~28g),brown bread|wholewheat bread,veg|packaged,false,false,75,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":12},""gram"":{""multiplier"":0.03571,""label"":""g"",""step"":10,""min"":10,""max"":336}}",label_pack
multigrain-bread-slice,Multigrain bread (slice),,breads_roti,piece,85,3.5,1 slice (~28g),multigrain bread|seeded bread,veg|packaged|high_fiber,false,false,65,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":12},""gram"":{""multiplier"":0.03571,""label"":""g"",""step"":10,""min"":10,""max"":336}}",label_pack
pancake-plain,Pancake (plain),,breads_roti,piece,115,3.5,1 pancake (~50g),pancake|flapjack,veg|western|breakfast,false,false,35,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":6},""gram"":{""multiplier"":0.02,""label"":""g"",""step"":10,""min"":10,""max"":300}}",usda_fdc
waffle-plain,Waffle (plain),,breads_roti,piece,220,5.0,1 waffle (~75g),waffle,veg|western|breakfast,false,false,30,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":4},""gram"":{""multiplier"":0.01333,""label"":""g"",""step"":10,""min"":10,""max"":300}}",usda_fdc
croissant-plain,Croissant (plain),,breads_roti,piece,230,5.0,1 croissant (~55g),croissant,veg|western|bakery,false,false,30,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":4},""gram"":{""multiplier"":0.01818,""label"":""g"",""step"":10,""min"":10,""max"":220}}",usda_fdc
bagel-plain,Bagel (plain),,breads_roti,piece,250,9.0,1 bagel (~90g),bagel,veg|western|bakery,false,false,25,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":3},""gram"":{""multiplier"":0.01111,""label"":""g"",""step"":10,""min"":10,""max"":270}}",usda_fdc
steamed-rice-white,Steamed rice (white),चावल,rice_biryani,bowl,215,4.5,1 katori (~180g cooked),chawal|white rice|rice|steamed rice,veg|staple|home_cooked,false,true,96,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",ifct_2017
brown-rice,Brown rice (cooked),,rice_biryani,bowl,195,4.0,1 katori (~180g cooked),brown rice|wholegrain rice,veg|staple|high_fiber,false,true,70,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",usda_fdc
basmati-rice,Basmati rice (cooked),बासमती चावल,rice_biryani,bowl,220,4.5,1 katori (~180g cooked),basmati|basmati rice,veg|staple,false,true,80,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",ifct_2017
jeera-rice,Jeera rice,जीरा चावल,rice_biryani,bowl,265,4.5,1 katori (~180g),jeera rice|cumin rice,veg|home_cooked,false,true,78,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
lemon-rice,Lemon rice,नींबू चावल,rice_biryani,bowl,290,5.5,1 katori (~180g),lemon rice|nimbu chawal|chitranna,veg|south_indian|home_cooked,false,true,60,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
curd-rice,Curd rice,दही चावल,rice_biryani,bowl,210,6.0,1 katori (~180g),curd rice|dahi chawal|thayir sadam,veg|south_indian|home_cooked,false,true,70,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
tomato-rice,Tomato rice,,rice_biryani,bowl,275,4.5,1 katori (~180g),tomato rice|tomato bath,veg|south_indian,false,true,50,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
veg-pulao,Veg pulao,वेज पुलाव,rice_biryani,bowl,295,7.0,1 katori (~180g),veg pulao|pulao|pilaf,veg|home_cooked,false,true,78,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
matar-pulao,Matar pulao,मटर पुलाव,rice_biryani,bowl,285,7.5,1 katori (~180g),matar pulao|peas pulao,veg|home_cooked,false,true,60,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
veg-biryani,Veg biryani,वेज बिरयानी,rice_biryani,bowl,350,8.5,1 katori (~180g),veg biryani|veg dum biryani,veg|restaurant,false,false,75,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
chicken-biryani,Chicken biryani,चिकन बिरयानी,rice_biryani,bowl,395,17.0,1 katori (~180g),chicken biryani|murg biryani,non_veg|restaurant,false,false,92,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
mutton-biryani,Mutton biryani,मटन बिरयानी,rice_biryani,bowl,430,18.0,1 katori (~180g),mutton biryani|lamb biryani,non_veg|restaurant,false,false,82,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
hyderabadi-dum-biryani,Hyderabadi dum biryani,हैदराबादी बिरयानी,rice_biryani,bowl,415,17.0,1 katori (~180g),hyderabadi biryani|dum biryani,non_veg|restaurant,false,false,70,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
egg-biryani,Egg biryani,अंडा बिरयानी,rice_biryani,bowl,370,13.0,1 katori (~180g),egg biryani|anda biryani,non_veg|restaurant,false,false,65,bowl_scale,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""hint"":""½ katori / light"",""multiplier"":0.75},{""key"":""regular"",""label"":""Regular"",""hint"":""1 katori (~180g)"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""hint"":""Full bowl / generous"",""multiplier"":1.35}]}","{""bowl"":{""multiplier"":1,""label"":""bowl"",""step"":0.5,""min"":0.5,""max"":4},""gram"":{""multiplier"":0.00556,""label"":""g"",""step"":10,""min"":30,""max"":600}}",mfp_avg
